STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|BENCHMARK|DATABASE|SCALE_FACTOR|FILE_FORMAT|TABLE
1438965071|1438965101|30000|2015/08/07:16:31:11|2015/08/07:16:31:41|0h 0m 30s|tpch|tpch_orc_2sf|2|orc|part
1438965198|1438965229|31000|2015/08/07:16:33:18|2015/08/07:16:33:49|0h 0m 31s|tpch|tpch_orc_2sf|2|orc|part
1438965242|1438965272|30000|2015/08/07:16:34:02|2015/08/07:16:34:32|0h 0m 30s|tpch|tpch_orc_2sf|2|orc|partsupp
1438965286|1438965311|25000|2015/08/07:16:34:46|2015/08/07:16:35:11|0h 0m 25s|tpch|tpch_orc_2sf|2|orc|supplier
1438965326|1438965355|29000|2015/08/07:16:35:26|2015/08/07:16:35:55|0h 0m 29s|tpch|tpch_orc_2sf|2|orc|customer
1438965368|1438965405|37000|2015/08/07:16:36:08|2015/08/07:16:36:45|0h 0m 37s|tpch|tpch_orc_2sf|2|orc|orders
1438965418|1438965508|90000|2015/08/07:16:36:58|2015/08/07:16:38:28|0h 1m 30s|tpch|tpch_orc_2sf|2|orc|lineitem
1438965521|1438965548|27000|2015/08/07:16:38:41|2015/08/07:16:39:08|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|nation
1438965563|1438965589|26000|2015/08/07:16:39:23|2015/08/07:16:39:49|0h 0m 26s|tpch|tpch_orc_2sf|2|orc|region
1438966244|1438966271|27000|2015/08/07:16:50:44|2015/08/07:16:51:11|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|part
1438966287|1438966316|29000|2015/08/07:16:51:27|2015/08/07:16:51:56|0h 0m 29s|tpch|tpch_orc_2sf|2|orc|partsupp
1438966329|1438966357|28000|2015/08/07:16:52:09|2015/08/07:16:52:37|0h 0m 28s|tpch|tpch_orc_2sf|2|orc|supplier
1438966370|1438966397|27000|2015/08/07:16:52:50|2015/08/07:16:53:17|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|customer
1438966412|1438966448|36000|2015/08/07:16:53:32|2015/08/07:16:54:08|0h 0m 36s|tpch|tpch_orc_2sf|2|orc|orders
1438966463|1438966551|88000|2015/08/07:16:54:23|2015/08/07:16:55:51|0h 1m 28s|tpch|tpch_orc_2sf|2|orc|lineitem
1438966564|1438966591|27000|2015/08/07:16:56:04|2015/08/07:16:56:31|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|nation
1438966604|1438966630|26000|2015/08/07:16:56:44|2015/08/07:16:57:10|0h 0m 26s|tpch|tpch_orc_2sf|2|orc|region
