STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|BENCHMARK|DATABASE|SCALE_FACTOR|FILE_FORMAT|QUERY
1439318578|1439318584|6000|2015/08/11:18:42:58|2015/08/11:18:43:04|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 1
1439318584|1439318590|6000|2015/08/11:18:43:04|2015/08/11:18:43:10|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 2
1439318590|1439318595|5000|2015/08/11:18:43:10|2015/08/11:18:43:15|0h 0m 5s|tpch|tpch_orc_2sf|2|orc|Query 3
1439318595|1439318601|6000|2015/08/11:18:43:15|2015/08/11:18:43:21|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 4
1439318601|1439318607|6000|2015/08/11:18:43:21|2015/08/11:18:43:27|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 5
1439318607|1439318614|7000|2015/08/11:18:43:27|2015/08/11:18:43:34|0h 0m 7s|tpch|tpch_orc_2sf|2|orc|Query 6
1439318614|1439318620|6000|2015/08/11:18:43:34|2015/08/11:18:43:40|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 7
1439318620|1439318626|6000|2015/08/11:18:43:40|2015/08/11:18:43:46|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 8
1439318626|1439318632|6000|2015/08/11:18:43:46|2015/08/11:18:43:52|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 9
1439318632|1439318638|6000|2015/08/11:18:43:52|2015/08/11:18:43:58|0h 0m 6s|tpch|tpch_orc_2sf|2|orc|Query 10
1439318638|1439318642|4000|2015/08/11:18:43:58|2015/08/11:18:44:02|0h 0m 4s|tpch|tpch_orc_2sf|2|orc|Query 11
1439319254|1439319337|83000|2015/08/11:18:54:14|2015/08/11:18:55:37|0h 1m 23s|tpch|tpch_orc_2sf|2|orc|Query 1
1439319337|1439320362|1025000|2015/08/11:18:55:37|2015/08/11:19:12:42|0h 17m 5s|tpch|tpch_orc_2sf|2|orc|Query 2
1439320362|1439320483|121000|2015/08/11:19:12:42|2015/08/11:19:14:43|0h 2m 1s|tpch|tpch_orc_2sf|2|orc|Query 3
1439320483|1439320617|134000|2015/08/11:19:14:43|2015/08/11:19:16:57|0h 2m 14s|tpch|tpch_orc_2sf|2|orc|Query 4
1439320617|1439320632|15000|2015/08/11:19:16:57|2015/08/11:19:17:12|0h 0m 15s|tpch|tpch_orc_2sf|2|orc|Query 5
